Name,Address,State,County,Phone,Email,Website,Category,Facility_Type,Feedstock,Latitude,Longitude,NAICS_Code
Being Alive Harm Reduction Center,"7976 Santa Monica Blvd, West Hollywood, CA 90046",California,Los Angeles,323-848-4445,,https://beingalivela.org,Sharps Disposal,Sharps Collection Site,"Needles, Syringes, Lancets, Sharps",34.0906,-118.3643,562112
North Hollywood Health Center,"5300 Tujunga Ave, North Hollywood, CA 91601",California,Los Angeles,818-766-3982,,,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",34.1878,-118.3869,562112
Glendale Environmental Management Center,"780 Flower St, Glendale, CA 91201",California,Los Angeles,818-548-3916,,https://www.glendaleca.gov,Sharps Disposal,Municipal Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",34.1478,-118.2606,562112
Central Health Center,"241 N Figueroa St, Los Angeles, CA 90012",California,Los Angeles,213-240-8144,,,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",34.0623,-118.2456,562112
Curtis R. Tucker Health Center,"123 W Manchester Blvd, Inglewood, CA 90301",California,Los Angeles,310-419-5325,,,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",33.9606,-118.3533,562112
Randall Street S.A.F.E. Collection Center,"11025 Randall St, Sun Valley, CA 91352",California,Los Angeles,800-773-2489,,https://dpw.lacounty.gov/epd/safe,Sharps Disposal,Municipal Collection,"Needles, Syringes, Lancets, Sharps, Household Hazardous Waste",34.2276,-118.3847,562112
Washington Blvd. S.A.F.E. Collection Center,"2649 E Washington Blvd, Los Angeles, CA 90021",California,Los Angeles,800-773-2489,,https://dpw.lacounty.gov/epd/safe,Sharps Disposal,Municipal Collection,"Needles, Syringes, Lancets, Sharps, Household Hazardous Waste",34.0215,-118.2194,562112
CVS Pharmacy - Beverly Hills,"9001 Wilshire Blvd, Beverly Hills, CA 90210",California,Los Angeles,310-278-8800,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",34.0695,-118.3916,446110
Walgreens - West Hollywood,"8490 Santa Monica Blvd, West Hollywood, CA 90069",California,Los Angeles,323-656-8820,,https://www.walgreens.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",34.0897,-118.3794,446110
NYC Department of Sanitation - Manhattan Drop-Off,"343 E 99th St, New York, NY 10029",New York,New York,311,,,Sharps Disposal,Municipal Collection,"Needles, Syringes, Lancets, Sharps",40.7883,-73.9455,562112
Harlem Hospital Center,"506 Lenox Ave, New York, NY 10037",New York,New York,212-939-1000,,https://www.nychealthandhospitals.org/harlem,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",40.8151,-73.9398,622110
Bellevue Hospital Center,"462 1st Ave, New York, NY 10016",New York,New York,212-562-4141,,https://www.nychealthandhospitals.org/bellevue,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",40.7392,-73.9754,622110
CVS Pharmacy - Midtown Manhattan,"750 Lexington Ave, New York, NY 10022",New York,New York,212-371-5720,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",40.7622,-73.9686,446110
