Name,Category,Address,City,State,Zip,Phone,Email,Website,Latitude,Longitude,Materials_Accepted,Notes
Best Buy - Electronics Recycling,Retail Take-Back Program,"1717 Harrison St, San Francisco, CA 94103",San Francisco,CA,94103,(415) 626-9682,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,37.7699,-122.4134,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"2675 Geary Blvd, San Francisco, CA 94118",San Francisco,CA,94118,(415) 292-8193,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,37.7824,-122.4474,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"1000 Van Ness Ave, San Francisco, CA 94109",San Francisco,CA,94109,(415) 626-2610,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,37.7855,-122.4213,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"200 W 34th St, New York, NY 10001",New York,NY,10001,(212) 366-1373,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,40.7505,-73.9883,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"60 W 23rd St, New York, NY 10010",New York,NY,10010,(212) 366-1373,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,40.742,-73.992,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"622 Broadway, New York, NY 10012",New York,NY,10012,(212) 673-7983,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,40.7262,-73.9962,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"1201 S Hayes St, Arlington, VA 22202",Arlington,VA,22202,(703) 414-7090,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,38.8627,-77.0595,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"4500 Wisconsin Ave NW, Washington, DC 20016",Washington,DC,20016,(202) 895-1580,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,38.9489,-77.0796,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"750 N Michigan Ave, Chicago, IL 60611",Chicago,IL,60611,(312) 397-0700,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,41.8964,-87.6245,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"2100 N Elston Ave, Chicago, IL 60614",Chicago,IL,60614,(773) 486-0495,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,41.9206,-87.6655,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"8290 W Flagler St, Miami, FL 33144",Miami,FL,33144,(305) 225-0014,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,25.7663,-80.3337,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"1400 S Loop W, Houston, TX 77054",Houston,TX,77054,(713) 349-0000,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,29.7118,-95.3885,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"5601 Brodie Ln, Austin, TX 78745",Austin,TX,78745,(512) 891-6000,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,30.2084,-97.8225,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"10515 N Mopac Expy, Austin, TX 78759",Austin,TX,78759,(512) 795-4500,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,30.3977,-97.7402,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"4055 S Arizona Ave, Chandler, AZ 85248",Chandler,AZ,85248,(480) 792-0800,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,33.268,-111.8412,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"2501 W Happy Valley Rd, Phoenix, AZ 85085",Phoenix,AZ,85085,(623) 580-1700,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,33.7104,-112.1052,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"13501 Poway Rd, Poway, CA 92064",Poway,CA,92064,(858) 679-0800,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,32.9628,-117.0363,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"4545 La Jolla Village Dr, San Diego, CA 92122",San Diego,CA,92122,(858) 558-2800,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,32.8721,-117.2107,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"10633 NE 8th St, Bellevue, WA 98004",Bellevue,WA,98004,(425) 453-0760,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,47.6171,-122.1961,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"2501 S 38th St, Tacoma, WA 98409",Tacoma,WA,98409,(253) 472-4600,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,47.2268,-122.4706,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"1200 NW Couch St, Portland, OR 97209",Portland,OR,97209,(503) 226-2000,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,45.5238,-122.6836,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
